feature value,n_samples,precision,recall,fbeta
 United-States,5863,0.9531362653208363,0.9199721642310369,0.9362606232294617
 ?,105,0.9743589743589743,0.95,0.9620253164556962
 England,13,1.0,1.0,1.0
 Mexico,117,0.9259259259259259,0.8928571428571429,0.9090909090909091
 Taiwan,10,1.0,1.0,1.0
 Vietnam,14,1.0,1.0,1.0
 India,23,1.0,1.0,1.0
 Columbia,10,1.0,1.0,1.0
 Cambodia,9,0.0,0.0,0.0
 Dominican-Republic,12,1.0,1.0,1.0
 Germany,23,1.0,0.9,0.9473684210526316
 Laos,3,0.0,0.0,0.0
 Iran,11,0.6666666666666666,0.6666666666666666,0.6666666666666666
 Japan,13,1.0,1.0,1.0
 Poland,13,1.0,1.0,1.0
 El-Salvador,19,1.0,1.0,1.0
 Italy,9,1.0,1.0,1.0
 Peru,6,0.0,0.0,0.0
 Ireland,6,1.0,1.0,1.0
 Puerto-Rico,20,1.0,0.6,0.7499999999999999
 Guatemala,16,0.5,1.0,0.6666666666666666
 Philippines,44,0.9166666666666666,0.9166666666666666,0.9166666666666666
 Cuba,19,1.0,0.6,0.7499999999999999
 Canada,24,1.0,0.8333333333333334,0.9090909090909091
 Jamaica,17,1.0,1.0,1.0
 South,18,1.0,1.0,1.0
 Ecuador,4,0.0,0.0,0.0
 China,17,1.0,1.0,1.0
 Hong,3,0.0,0.0,0.0
 Nicaragua,6,0.0,0.0,0.0
 Trinadad&Tobago,2,0.0,0.0,0.0
 Portugal,7,1.0,1.0,1.0
 Honduras,2,1.0,1.0,1.0
 Haiti,11,1.0,1.0,1.0
 Greece,4,0.0,0.0,0.0
 France,8,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),4,0.0,0.0,0.0
 Thailand,2,0.0,0.0,0.0
 Yugoslavia,4,1.0,1.0,1.0
 Scotland,2,0.0,0.0,0.0
